 On 2022/6/20 ,,,,,,,,,,,,
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,0,0,0,0,-0.36,1.47,1.2,0,0,0,0,0
data,0,0,0,23,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,32,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,42,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,52,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,62,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,72,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,82,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,99,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,109,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,119,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,129,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,139,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,149,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,159,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,169,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,179,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,196,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,206,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,216,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,227,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,237,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,247,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,257,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,267,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,284,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,294,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,304,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,314,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,324,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,334,-0.31,1.47,1.21,0,0,0,0,0
data,0,0,0,344,-0.31,1.47,1.2,0,0,0,0,0
data,0,0,0,355,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,365,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,381,-0.31,1.48,1.2,0,0,0,0,0
data,0,0,0,391,-0.31,1.48,1.2,0,0,0,0,0
