 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,0,0,0,1,-0.18,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,22,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,31,-0.11,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,41,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,51,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,61,-0.11,1.47,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,71,-0.11,1.47,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,81,-0.11,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,97,-0.11,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,107,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,117,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,127,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,137,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,147,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,157,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,167,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,177,-0.11,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,193,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,203,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,213,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,223,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,233,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,244,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,254,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,264,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,280,-0.11,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,290,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,300,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,310,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,320,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,330,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,340,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,350,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,360,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,377,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,387,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,397,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,407,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,417,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,427,-0.12,1.47,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,437,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,447,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,464,-0.11,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,474,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,484,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,494,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,504,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,514,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,524,-0.12,1.49,1.08,0.0000,0.0000,0.00,0.00,0.00
